Sample	subject_id	Type	Week	RIN	Conc	Vol	mass	28S_18S	Remark	Total_reads	Uniq_Rate	Multi_Rate	Unmap_Rate	Uniq_Mapped_Reads	Gene_Rate	Ambiguity_Rate	No_Feature_Rate	Total_Tags	CDS_Exon	5UTR_Exon	3UTR_Exon	Introns	Intergenic	Counted_Reads	Norm_Factor	Avg_Corr	Corr_diff	MADScore	isOutlier
C2-PFE-ZSF1	C2-PFE-ZSF1	lean	24	6.2	322	45	14.49	1.2	RIN<7.0	43527827	85.8	9.56	4.64	37344879	84.56	1.12	14.32	97747676	73.76	1.45	12.41	5.22	7.17	31578604	0.9625	0.9852	0.0032601	0.2952	N
C3-PFE-ZSF1	C3-PFE-ZSF1	lean	24	6.2	323	26	8.4	1.2	RIN<7.0	43959376	84.97	10.04	4.99	37352882	86.13	1.18	12.69	97356369	75.55	1.42	11.59	4.58	6.85	32170520	0.894	0.9855	0.0035912	0.4413	N
C4-PFE-ZSF1	C4-PFE-ZSF1	lean	24	6.4	169	28	4.73	1.3	RIN<7.0	44054439	86.54	8.55	4.91	38122652	82.33	0.97	16.71	99984020	70.71	1.73	13.64	6.33	7.58	31383814	1.0815	0.9827	0.0006421	-0.86	N
C5-PFE-ZSF1	C5-PFE-ZSF1	lean	24	5.5	387	26	10.06	1.1	RIN<7.0	44957287	84.68	9.48	5.84	38069141	84.97	1.08	13.96	100495032	73.3	1.58	13.2	4.65	7.27	32345328	0.9952	0.9842	0.0021727	-0.1847	N
C6-PFE-ZSF1	C6-PFE-ZSF1	obese	24	6.2	421	64	26.94	1.2	RIN<7.0	43902165	85.33	9.78	4.89	37461877	85.37	1.3	13.33	97710516	75.07	1.44	11.68	5.07	6.74	31980819	0.9161	0.9857	0.0037342	0.5044	N
C7-PFE-ZSF1	C7-PFE-ZSF1	obese	24	6.3	384	44	16.9	1.3	RIN<7.0	45009887	84.76	10.06	5.18	38151924	86.52	1.29	12.19	99291307	76.34	1.26	11.27	4.67	6.47	33008223	0.8363	0.9807	-0.001428	-1.7736	N
C8-PFE-ZSF1	C8-PFE-ZSF1	obese	24	6.4	350	64	22.4	1.3	RIN<7.0	44179244	86.02	9.26	4.72	38004891	83.97	1.11	14.93	99819661	73.25	1.51	12.52	5.69	7.03	31911028	0.9991	0.9875	0.005638	1.3445	N
C9-PFE-ZSF1	C9-PFE-ZSF1	obese	24	5.9	444	26	11.54	1.2	RIN<7.0	43889755	85.74	9.89	4.37	37631648	84.67	1.2	14.14	97558028	74.2	1.3	12.05	5.45	7	31860181	0.9159	0.987	0.0051383	1.124	N
C10-PFE-ZSF1	C10-PFE-ZSF1	obese	24	6.5	451	64	28.86	1.5	RIN<7.0	44320813	86.33	9.41	4.26	38260159	84.04	1.11	14.86	99990329	73.84	1.41	11.9	5.94	6.91	32151124	0.9615	0.9874	0.0054981	1.2828	N
D1-PFE-ZSF1	D1-PFE-ZSF1	lean	29	6.9	228	27	6.16	1.6	RIN<7.0	44068239	86.5	9.07	4.43	38117642	82.43	1.07	16.49	99790065	71.7	1.59	12.75	6.44	7.51	31420555	1.0326	0.9842	0.0021892	-0.1774	N
D2-PFE-ZSF1	D2-PFE-ZSF1	lean	29	6.6	443	26	11.52	1.5	RIN<7.0	44271897	85.89	9.09	5.02	38024048	81.67	1.06	17.28	99252543	71.28	1.49	12.63	7.12	7.49	31052144	1.0454	0.9853	0.003344	0.3322	N
D3-PFE-ZSF1	D3-PFE-ZSF1	lean	29	6.6	396	26	10.3	1.6	RIN<7.0	44006501	85.87	9.76	4.37	37786795	84.21	1.14	14.65	97851756	74.25	1.37	11.37	5.86	7.14	31819781	0.9023	0.9857	0.0037521	0.5123	N
D4-PFE-ZSF1	D4-PFE-ZSF1	lean	29	6.4	262	26	6.81	1.5	RIN<7.0	43748899	85.2	9.77	5.03	37274239	83.31	1.18	15.51	96297925	73.28	1.34	11.69	6.41	7.28	31051040	0.9122	0.9854	0.0034184	0.3651	N
D5-PFE-ZSF1	D5-PFE-ZSF1	lean	29	6.6	367	26	9.54	1.7	RIN<7.0	44372391	86.63	8.57	4.8	38438641	80.67	0.98	18.35	100146537	70.1	1.6	12.95	7.71	7.64	31005812	1.094	0.9802	-0.0019356	-1.9975	N
D6-PFE-ZSF1	D6-PFE-ZSF1	obese	29	6.3	340	26	8.84	1.5	RIN<7.0	44447878	85.83	9.4	4.77	38148088	83.28	1.15	15.57	100055350	72.77	1.48	12.45	6.26	7.04	31768221	1.0272	0.9852	0.0032149	0.2752	N
D7-PFE-ZSF1	D7-PFE-ZSF1	obese	29	6.4	177	26	4.6	1.4	RIN<7.0	44588076	85.58	10.12	4.3	38159739	85.64	1.22	13.14	99711759	74.9	1.32	12.05	4.86	6.87	32677068	0.9168	0.9839	0.0019209	-0.2958	N
D8-PFE-ZSF1	D8-PFE-ZSF1	obese	29	6.3	500	26	13	1.4	RIN<7.0	44643372	86.48	9.18	4.34	38605712	82.85	1.04	16.11	100562430	72	1.44	12.81	6.44	7.31	31981965	1.0223	0.9846	0.0025912	0	N
D9-PFE-ZSF1	D9-PFE-ZSF1	obese	29	6.3	288	26	7.49	1.4	RIN<7.0	44795689	85.96	9.85	4.19	38507062	82.11	1.05	16.84	101144910	70.69	1.43	13.72	6.35	7.81	31615898	1.071	0.9817	-0.0003603	-1.3024	N
D10-PFE-ZSF1	D10-PFE-ZSF1	obese	29	6.3	435	26	11.31	1.3	RIN<7.0	44696164	85.76	9.77	4.47	38330663	85	1.23	13.78	100061606	74.69	1.44	11.71	5.49	6.67	32578072	0.9393	0.9857	0.0037366	0.5054	N
E1-PFE-ZSF1	E1-PFE-ZSF1	lean	34	6.5	339	26	8.81	1.3	RIN<7.0	44694504	85.63	9.61	4.76	38272011	84.71	1.16	14.13	99482286	74.16	1.41	11.91	5.43	7.08	32419906	0.9366	0.9854	0.0034597	0.3832	N
E2-PFE-ZSF1	E2-PFE-ZSF1	lean	34	7.5	304	59	17.94	1.5	5s is high	44658916	86.72	8.6	4.68	38730124	81.87	0.97	17.16	101493005	70.76	1.46	13.54	6.71	7.53	31708588	1.102	0.9851	0.0031882	0.2634	N
E3-PFE-ZSF1	E3-PFE-ZSF1	lean	34	7	422	27	11.39	1.4	5s is high	44687559	86.66	8.62	4.72	38724763	82.38	0.98	16.64	101706936	71.21	1.57	13.36	6.51	7.36	31899685	1.1006	0.9861	0.0041957	0.708	N
E4-PFE-ZSF1	E4-PFE-ZSF1	lean	34	7.6	379	46	17.43	1.6	5s is high	43473996	85.17	9.7	5.13	37025391	84.41	1.14	14.45	95995091	74.27	1.33	11.59	5.8	7.02	31251239	0.9212	0.9872	0.0053042	1.1972	N
E5-PFE-ZSF1	E5-PFE-ZSF1	lean	34	7.3	471	46	21.67	1.5	5s is high	44737301	86.32	9	4.68	38619013	83.01	1.03	15.96	100983484	72.26	1.47	12.73	6.31	7.22	32055404	1.0343	0.9876	0.0056954	1.3698	N
E6-PFE-ZSF1	E6-PFE-ZSF1	obese	34	6.6	279	46	12.83	1.4	RIN<7.0	43589135	84.65	10.81	4.54	36899743	88.7	1.4	9.9	95298265	78.9	1.03	10.29	3.77	6.01	32729672	0.6932	0.9589	-0.0240391	-11.7511	Y
E7-PFE-ZSF1	E7-PFE-ZSF1	obese	34	6.2	466	27	12.58	1.5	RIN<7.0	44429905	84.67	10.85	4.48	37617305	88.27	1.3	10.43	97573659	78.59	1.15	10.13	4.14	6	33202477	0.7653	0.9717	-0.0107089	-5.8689	Y
E8-PFE-ZSF1	E8-PFE-ZSF1	obese	34	6.7	402	65	26.13	1.5	RIN<7.0	42952804	85.38	10.49	4.13	36673201	87.3	1.33	11.38	95492061	77.34	1.26	10.76	4.45	6.2	32012473	0.8051	0.975	-0.0073499	-4.3867	N
E9-PFE-ZSF1	E9-PFE-ZSF1	obese	34	7.1	274	65	17.81	1.6	5s is high.	43752076	84.44	9.78	5.78	36946241	84.49	1.2	14.31	97047321	74.57	1.36	11.5	5.98	6.59	31215272	0.9668	0.9806	-0.001513	-1.8111	N
E10-PFE-ZSF1	E10-PFE-ZSF1	obese	34	6.5	353	45	15.89	1.6	RIN<7.0	42963395	85.21	10.72	4.07	36607408	86.78	1.26	11.96	94372296	77.53	1.11	9.97	5.12	6.27	31766863	0.78	0.9792	-0.0030205	-2.4762	N
F1-PFE-ZSF1	F1-PFE-ZSF1	lean	41	6.4	192	26	4.99	1.3	RIN<7.0	44220226	86.19	9.72	4.09	38112568	84.84	1.07	14.08	99573306	74.23	1.39	11.95	5.42	7.02	32335210	0.9538	0.9859	0.0039842	0.6147	N
F2-PFE-ZSF1	F2-PFE-ZSF1	lean	41	6.6	174	27	4.7	1.4	RIN<7.0	43893197	84.99	9.31	5.7	37305917	83.82	1.1	15.09	97446056	73.54	1.42	11.92	6.01	7.11	31267807	0.9815	0.9857	0.0037317	0.5033	N
F3-PFE-ZSF1	F3-PFE-ZSF1	lean	41	6.2	345	27	9.32	1.4	RIN<7.0	43831597	84.84	9.45	5.71	37186461	83.81	1.13	15.06	96444695	74.01	1.39	11.27	6.39	6.94	31166379	0.9271	0.986	0.0041258	0.6772	N
F4-PFE-ZSF1	F4-PFE-ZSF1	lean	41	5.9	495	27	13.37	1.4	RIN<7.0	43779390	84.5	10.14	5.36	36992230	84.54	1.22	14.23	95315044	75.18	1.31	10.66	6.14	6.71	31273357	0.865	0.9855	0.0036071	0.4483	N
F6-PFE-ZSF1	F6-PFE-ZSF1	obese	41	6.6	159	76	12.08	1.5	RIN<7.0	43865772	85.71	10.31	3.98	37596396	86.69	1.29	12.01	98754949	77.1	1.36	10.54	5	6	32591951	0.8681	0.9664	-0.0162145	-8.2984	Y
F7-PFE-ZSF1	F7-PFE-ZSF1	obese	41	6.2	346	24	8.3	1.5	RIN<7.0	43891699	85.41	10.3	4.29	37485855	87.35	1.26	11.38	98001885	77.42	1.26	10.72	4.5	6.1	32743157	0.8305	0.9665	-0.0161692	-8.2784	Y
F8-PFE-ZSF1	F8-PFE-ZSF1	obese	41	6.1	411	26	10.69	1.5	RIN<7.0	44626239	84.77	11.05	4.18	37829715	88.32	1.39	10.29	98271164	79.12	1.11	9.69	4.16	5.91	33411368	0.7484	0.9519	-0.0312167	-14.9184	Y
